ሃለወ,V
ሃመመ,V
ሃረመ,V
ሃረረ,V
ሃረፈ,V
ሃሰሰ,V
ሃሰየ,V
ሃቀነ,V
ሃበ,V
ሃብተመ,V
ሃነጸ,V
ሃወኸ,V
ሃወጸ,V
ሃደመ,V
ሃደነ,V
ሃደደ,V
ሃድአ,V
ሃጀመ,V
ሃገረ,V
ሃፈፈ,V
ለሓመ,V
ለሓሰ,V
ለሓዀ,V
ለሓፈ,V
ለመነ,V
ለመደ,V
ለመጸ,V
ለምለመ,V
ለቐመ,V
ለቐቐ,V
ለበሰ,V
ለበጠ,V
ለብለበ,V
ለብዐ,V
ለንቀጠ,V
ለኣኸ,V
ለከመ,V
ለኽበጠ,V
ለወሰ,V
ለወየ,V
ለወጠ,V
ለዋወጠ,V
ለውሀ,V
ለዓለ,V
ለዘበ,V
ለዝለዘ,V
ለደደ,V
ለገሰ,V
ለገበ,V
ለጋገበ,V
ለጠጠ,V
ለጠፈ,V
ለጸቐ,V
ለፈጠ,V
ለፍለፈ,V
ለፍዐ,V
ላህልሀ,V
ላህዘዘ,V
ላጸየ,V
ሎኰተ,V
ሓለበ,V
ሓለነ,V
ሓለኸ,V
ሓለወ,V
ሓለፈ,V
ሓላለኸ,V
ሓመመ,V
ሓመቐ,V
ሓመየ,V
ሓመጠ,V
ሓምሸሸ,V
ሓምበሰ,V
ሓምተለ,V
ሓረሰ,V
ሓረቐ,V
ሓረየ,V
ሓረደ,V
ሓሰረ,V
ሓሰበ,V
ሓሰወ,V
ሓሰየ,V
ሓሸ,V
ሓሸሸ,V
ሓሽኰለ,V
ሓቐቐ,V
ሓቐየ,V
ሓቖፈ,V
ሓቘነ,V
ሓቘፈ,V
ሓበለ,V
ሓበረ,V
ሓበሰ,V
ሓበጠ,V
ሓባበለ,V
ሓብሓበ,V
ሓብአ,V
ሓተመ,V
ሓተተ,V
ሓነቐ,V
ሓነነ,V
ሓነኸ,V
ሓንኮለ,V
ሓንኮኸ,V
ሓንኰለ,V
ሓንገረ,V
ሓንገደ,V
ሓንፈጸ,V
ሓንፈፈ,V
ሓከመ,V
ሓኸኸ,V
ሓኾረ,V
ሓዀረ,V
ሓወሰ,V
ሓወየ,V
ሓዋወሰ,V
ሓዘ,V
ሓዘለ,V
ሓዘነ,V
ሓየለ,V
ሓየረ,V
ሓየኸ,V
ሓደሰ,V
ሓደገ,V
ሓገረ,V
ሓገዘ,V
ሓገገ,V
ሓግሓገ,V
ሓጐደ,V
ሓጥአ,V
ሓጨጨ,V
ሓጸረ,V
ሓጸበ,V
ሓጸየ,V
ሓፈሰ,V
መሃረ,V
መሃዘ,V
መለሰ,V
መለሸ,V
መለጠ,V
መልሐ,V
መልመለ,V
መልመሰ,V
መልአ,V
መልጠጠ,V
መሎቐ,V
መሓለ,V
መሓረ,V
መሓቘ,V
መሓወ,V
መመየ,V
መረሸ,V
መረቐ,V
መረዘ,V
መረጸ,V
መርሐ,V
መርመረ,V
መርሰረ,V
መሰለ,V
መሰየ,V
መሰጠ,V
መስረተ,V
መስነወ,V
መስከረ,V
መሸተ,V
መሸጠ,V
መሽመሸ,V
መቀለ,V
መቍሐ,V
መቐለ,V
መቐሰ,V
መቑሐ,V
መቓልሐ,V
መቓቐለ,V
መችአ,V
መነነ,V
መንተፈ,V
መንዝዐ,V
መንደበ,V
መንገወ,V
መንጠለ,V
መንጨተ,V
መንጨወ,V
መንጸረ,V
መከተ,V
መኸረ,V
መኸኸ,V
መወለ,V
መዓረ,V
መዓደ,V
መዘዘ,V
መዝሓቐ,V
መዝሓቘ,V
መዝመዘ,V
መዝገበ,V
መገበ,V
መጠነ,V
መጠጠ,V
መጸ,V
መጸየ,V
መጽወተ,V
ማህመነ,V
ማለደ,V
ማሕምሐ,V
ማረኸ,V
ማሰነ,V
ማሰየ,V
ማዕበለ,V
ምሓሸ,V
ሞተ,V
ሞኸደ,V
ረሃበ,V
ረሃጸ,V
ረሓቐ,V
ረረወ,V
ረሰደ,V
ረስዐ,V
ረሸነ,V
ረቀመ,V
ረቀጠ,V
ረቆጠ,V
ረቍሐ,V
ረቐየ,V
ረቑሐ,V
ረቓቕዐ,V
ረቝሐ,V
ረበሸ,V
ረብሐ,V
ረብረበ,V
ረተበ,V
ረትዐ,V
ረኣየ,V
ረከሰ,V
ረኸሰ,V
ረኸበ,V
ረዘነ,V
ረድአ,V
ረገጠ,V
ረገጸ,V
ረገፈ,V
ረግሐ,V
ረግአ,V
ረጎደ,V
ረጥረጠ,V
ረፈተ,V
ራህርሀ,V
ራሕርሐ,V
ራሰየ,V
ርሓቐ,V
ሰለመ,V
ሰለበ,V
ሰለዀ,V
ሰልከየ,V
ሰልዐ,V
ሰሎኸ,V
ሰሓለ,V
ሰሓበ,V
ሰሓተ,V
ሰመ,V
ሰመመ,V
ሰመረ,V
ሰመየ,V
ሰምሰመ,V
ሰምዐ,V
ሰረረ,V
ሰረቐ,V
ሰረበ,V
ሰረዘ,V
ሰረጸ,V
ሰርሐ,V
ሰርሰረ,V
ሰርዐ,V
ሰርዘ,V
ሰሰነ,V
ሰቐለ,V
ሰቕሰቐ,V
ሰበረ,V
ሰበኸ,V
ሰባበረ,V
ሰብሰበ,V
ሰብቀለ,V
ሰተረ,V
ሰተየ,V
ሰነገ,V
ሰነፈ,V
ሰንከለ,V
ሰንከተ,V
ሰንኮፈ,V
ሰንዐ,V
ሰንደወ,V
ሰንገወ,V
ሰንጠቐ,V
ሰንጨረ,V
ሰኣለ,V
ሰኣነ,V
ሰኩዐ,V
ሰኸነ,V
ሰዃዅዐ,V
ሰዅለለ,V
ሰዅዐ,V
ሰወረ,V
ሰዓለ,V
ሰዓረ,V
ሰዓበ,V
ሰየመ,V
ሰየተ,V
ሰየፈ,V
ሰደደ,V
ሰድዐ,V
ሰገረ,V
ሰገደ,V
ሰግአ,V
ሰጎገ,V
ሰጎጐ,V
ሰጐመ,V
ሰጐገ,V
ሰጐጐ,V
ሰጠመ,V
ሰፈለ,V
ሰፈረ,V
ሰፈነ,V
ሰፈየ,V
ሰፈፈ,V
ሰፍሐ,V
ሰፍነገ,V
ሳሕስሐ,V
ሳሰየ,V
ሳዘየ,V
ሳጸየ,V
ስሓበ,V
ስሓተ,V
ስሓወ,V
ስኣለ,V
ሸለመ,V
ሸሓረ,V
ሸምቀቐ,V
ሸምደደ,V
ሸምገለ,V
ሸምጠጠ,V
ሸረፈ,V
ሸርመመ,V
ሸርጠጠ,V
ሸቀለ,V
ሸነ,V
ሸነነ,V
ሸንሸነ,V
ሸንጎገ,V
ሸኩዐ,V
ሸኸለ,V
ሸኸተ,V
ሸወዘ,V
ሸገጠ,V
ሸጎረ,V
ሸጠ,V
ሸፈነ,V
ሸፈፈ,V
ሻቖጠ,V
ሾመ,V
ቀሃመ,V
ቀለወ,V
ቀለጠ,V
ቀለጸ,V
ቀልዐ,V
ቀልጠፈ,V
ቀመመ,V
ቀመረ,V
ቀምረረ,V
ቀምቀመ,V
ቀምጨጨ,V
ቀረመ,V
ቀረበ,V
ቀረጸ,V
ቀርቀረ,V
ቀርደደ,V
ቀርጠመ,V
ቀሰመ,V
ቀሰነ,V
ቀስቀሰ,V
ቀሸሸ,V
ቀበረ,V
ቀብአ,V
ቀተለ,V
ቀነተ,V
ቀነነ,V
ቀንአ,V
ቀንዐ,V
ቀንጠሰ,V
ቀንጠበ,V
ቀንጠጠ,V
ቀንጸለ,V
ቀዘዘ,V
ቀዘፈ,V
ቀየረ,V
ቀየሰ,V
ቀየደ,V
ቀያየረ,V
ቀይሐ,V
ቀደመ,V
ቀደሰ,V
ቀደደ,V
ቀድሐ,V
ቀጠፈ,V
ቀጥቀጠ,V
ቀጸለ,V
ቀጸጸ,V
ቀጽዐ,V
ቀፈደ,V
ቃቐረ,V
ቆለበ,V
ቆመ,V
ቆመለ,V
ቆረረ,V
ቆረጸ,V
ቆራረጸ,V
ቆርመመ,V
ቆንጠረ,V
ቆዘመ,V
ቆጠበ,V
ቆጸረ,V
ቆጸየ,V
ቈለበ,V
ቈለፈ,V
ቈልቈለ,V
ቈረጸ,V
ቈራረጸ,V
ቈርጠመ,V
ቈዘመ,V
ቈጠበ,V
ቈጸረ,V
በሃገ,V
በለ,V
በለለ,V
በለየ,V
በለጸ,V
በልሰነ,V
በልዐ,V
በረቐ,V
በረዘ,V
በርሀ,V
በርቅሐ,V
በርቈቘ,V
በርትዐ,V
በሰለ,V
በሳስዐ,V
በስዐ,V
በሽቀጠ,V
በቆጸ,V
በቕዐ,V
በቘለ,V
በተነ,V
በተኸ,V
በታተነ,V
በነነ,V
በኣሰ,V
በከለ,V
በኸየ,V
በዅዐ,V
በወዘ,V
በዘተ,V
በዝሐ,V
በየነ,V
በደለ,V
በድሀ,V
በድበደ,V
በጥሐ,V
በጽሐ,V
በጽበጸ,V
ባህብሀ,V
ባልሀ,V
ባሕጎጐ,V
ባረኸ,V
ባረወ,V
ቦኽቦኸ,V
ተሃላለኸ,V
ተሃንቀወ,V
ተሃወኸ,V
ተለለወ,V
ተለማመደ,V
ተለምደ,V
ተለቅሐ,V
ተለከመ,V
ተለወየ,V
ተለዋወጠ,V
ተለዓዓለ,V
ተለጠፈ,V
ተላሓገ,V
ተላሕጸጸ,V
ተላቐቐ,V
ተላተመ,V
ተላዕለ,V
